model,dataset,sampler,num_frames,n_items,n_instances,I_Acc,I_Acc_lo,I_Acc_hi,Q_Acc,V_Acc,Acc,yes_rate,TP,FP,FN,TN,invalid,sensitivity,specificity,youden_J,J_lo,J_hi,z_I_Acc_vs_chance,z_Acc_vs_chance
Gemma-4-12B-it,timeblind,uniform,24,1200,600,14.33,11.76,17.36,25.08,37.25,60.21,27.58,218,113,382,487,0,36.33,81.17,17.5,12.54,22.46,8.18,10.0
Gemma-4-12B-it,timeblind,random,1,1200,600,1.33,0.68,2.61,7.83,17.33,47.88,12.0,63,67,479,474,117,11.62,87.62,-0.76,-4.63,3.11,-4.98,-2.08
Gemma-4-12B-it,timeblind,random,4,1200,600,6.67,4.93,8.95,18.17,29.75,55.21,20.78,146,103,454,495,2,24.33,82.78,7.11,2.53,11.69,0.42,5.1
Gemma-4-12B-it,timeblind,random,8,1200,600,11.67,9.34,14.48,21.17,35.08,58.0,25.1,194,107,405,493,1,32.39,82.17,14.55,9.71,19.39,5.48,7.84
Gemma-4-12B-it,timeblind,random,16,1200,600,14.0,11.45,17.01,24.92,36.17,59.75,26.5,209,109,391,491,0,34.83,81.83,16.67,11.76,21.57,7.84,9.55
Gemma-4-12B-it,timeblind,random,24,1200,600,13.33,10.85,16.29,23.5,35.58,59.38,25.33,198,106,402,494,0,33.0,82.33,15.33,10.49,20.18,7.17,9.19
Gemma-4-12B-it,timeblind,hornet,1,1200,600,1.5,0.79,2.83,7.75,15.92,47.38,11.18,64,56,473,480,127,11.92,89.55,1.47,-2.3,5.24,-4.81,-2.57
Gemma-4-12B-it,timeblind,hornet,4,1200,600,3.67,2.43,5.49,14.5,25.5,54.04,14.33,107,63,486,530,14,18.04,89.38,7.42,3.45,11.39,-2.61,3.96
Gemma-4-12B-it,timeblind,hornet,8,1200,600,7.0,5.22,9.33,17.75,29.67,55.75,18.05,134,82,464,517,3,22.41,86.31,8.72,4.39,13.05,0.76,5.63
Gemma-4-12B-it,timeblind,hornet,16,1200,600,11.0,8.74,13.76,22.42,34.08,58.5,23.67,181,103,419,497,0,30.17,82.83,13.0,8.25,17.75,4.81,8.33
Gemma-4-12B-it,timeblind,hornet,24,1200,600,13.5,11.0,16.47,24.17,35.83,59.58,25.08,202,99,398,501,0,33.67,83.5,17.17,12.36,21.97,7.34,9.39
